2500;Biel/Bienne
2502;Biel/Bienne
2503;Biel/Bienne
2504;Biel/Bienne
2505;Biel/Bienne
2512;Tüscherz-Alfermée
2513;Twann
2514;Ligerz
2515;Prêles
2516;Lamboing
2517;Diesse
2518;Nods
2520;La Neuveville
2523;Lignières
2525;Le Landeron
2532;Magglingen/Macolin
2533;Evilard
2534;Les Prés-d'Orvin
2534;Orvin
2535;Frinvillier
2536;Plagne
2537;Vauffelin
2538;Romont BE
2540;Grenchen
2542;Pieterlen
2543;Lengnau BE
2544;Bettlach
2545;Selzach
2552;Orpund
2553;Safnern
2554;Meinisberg
2555;Brügg BE
2556;Scheuren
2556;Schwadernau
2557;Studen BE
2558;Aegerten
2560;Nidau
2562;Port
2563;Ipsach
2564;Bellmund
2565;Jens
2572;Mörigen
2572;Sutz
2575;Hagneck
2575;Gerolfingen
2575;Täuffelen
2576;Lüscherz
2577;Finsterhennen
2577;Siselen BE
2603;Péry
2604;La Heutte
2605;Sonceboz-Sombeval
2606;Corgémont
2607;Cortébert
2608;Montagne-de-Courtelary
2608;Courtelary
2610;Mont-Soleil
2610;Mont-Crosin
2610;Les Pontins
2610;St-Imier
2612;Cormoret
2613;Villeret
2615;Montagne-de-Sonvilier
2615;Sonvilier
2616;La Cibourg
2616;Renan BE
2710;Tavannes
2712;Le Fuet
2713;Bellelay
2714;Le Prédame
2714;Les Genevez JU
2715;Monible
2715;Châtelat
2716;Sornetan
2717;Fornet-Dessous
2717;Rebévelier
2718;Fornet-Dessus
2718;Lajoux JU
2720;La Tanne
2720;Tramelan
2722;Les Reussilles
2723;Mont-Tramelan
2732;Saicourt
2732;Saules BE
2732;Loveresse
2732;Reconvilier
2733;Pontenet
2735;Bévilard
2735;Champoz
2735;Malleray
2736;Sorvilier
2738;Court
2740;Moutier
2742;Perrefitte
2743;Eschert
2744;Belprahon
2745;Grandval
2746;Crémines
2747;Seehof
2747;Corcelles BE
2748;Souboz
2748;Les Ecorcheresses
2762;Roches BE
2800;Delémont
2802;Develier
2803;Bourrignon
2805;Soyhières
2806;Mettembert
2807;Lucelle
2807;Pleigne
2812;Movelier
2813;Ederswiler
2814;Roggenburg
2822;Courroux
2823;Courcelon
2824;Vicques
2825;Courchapoix
2826;Corban
2827;Schelten
2827;Mervelier
2828;Montsevelier
2829;Vermes
2830;Vellerat
2830;Courrendlin
2832;Rebeuvelier
2842;Rossemaison
2843;Châtillon JU
2852;Courtételle
2853;Courfaivre
2854;Bassecourt
2855;Glovelier
2856;Boécourt
2857;Montavon
2863;Undervelier
2864;Soulce
2873;Saulcy
2874;Montfavergier
2874;St-Brais
2875;Les Enfers
2875;Montfaucon
2877;Le Bémont JU
2882;St-Ursanne
2883;Montmelon
2884;Montenol
2885;Epauvillers
2886;Epiquerez
2887;Soubey
2888;Seleute
2889;Ocourt
2900;Porrentruy
2902;Fontenais
2903;Villars-sur Fontenais
2904;Bressaucourt
2905;Courtedoux
2906;Chevenez
2907;Rocourt
2908;Grandfontaine
2912;Roche-d'Or
2912;Réclère
2914;Damvant
2915;Bure
2916;Fahy
2922;Courchavon
2923;Courtemaîche
2924;Montignez
2925;Buix
2926;Boncourt
2932;Coeuve
2933;Damphreux
2933;Lugnez
2935;Beurnevésin
2942;Alle
2943;Vendlincourt
2944;Bonfol
2946;Miécourt
2947;Charmoille
2950;Courtemautruy
2950;Courgenay
2952;Cornol
2953;Fregiécourt
2953;Pleujouse
2954;Asuel
3000;Bern
3004;Bern
3005;Bern
3006;Bern
3007;Bern
3008;Bern
3010;Bern
3011;Bern
3012;Bern
3013;Bern
3014;Bern
3015;Bern
3018;Bern
3019;Bern
3020;Bern
3027;Bern
3032;Hinterkappelen
3033;Wohlen b. Bern
3034;Murzelen
3035;Frieswil
3036;Detligen
3037;Herrenschwanden
3038;Kirchlindach
3042;Ortschwaben
3043;Uettligen
3044;Innerberg
3045;Meikirch
3046;Wahlendorf
3047;Bremgarten b. Bern
3048;Worblaufen
3049;Säriswil
3052;Zollikofen
3053;Deisswil b. Münchenbuchsee
3053;Diemerswil
3053;Wiggiswil
3053;Lätti
3053;Münchenbuchsee
3054;Schüpfen
3063;Ittigen
3065;Bolligen
3066;Stettlen
3067;Boll
3068;Utzigen
3072;Ostermundigen
3073;Gümligen
3074;Muri b. Bern
3075;Rüfenacht BE
3076;Worb
3077;Enggistein
3078;Richigen
3082;Schlosswil
3083;Trimstein
3084;Wabern
3086;Englisberg
3086;Zimmerwald
3087;Niedermuhlern
3088;Oberbütschel
3088;Rüeggisberg
3089;Hinterfultigen
3095;Spiegel b. Bern
3096;Oberbalm
3097;Liebefeld
3098;Köniz
3098;Schliern b. Köniz
3099;Rüti b. Riggisberg
3110;Münsingen
3111;Tägertschi
3112;Allmendingen b. Bern
3113;Rubigen
3114;Wichtrach
3115;Gerzensee
3116;Mühledorf BE
3116;Noflen BE
3116;Kirchdorf BE
3122;Kehrsatz
3123;Belp
3124;Belpberg
3125;Toffen
3126;Gelterfingen
3126;Kaufdorf
3127;Lohnstorf
3127;Mühlethurnen
3128;Kirchenthurnen
3128;Rümligen
3132;Riggisberg
3144;Gasel
3145;Niederscherli
3147;Mittelhäusern
3148;Lanzenhäusern
3150;Schwarzenburg
3152;Mamishaus
3153;Rüschegg Gambach
3154;Rüschegg Heubach
3155;Helgisried-Rohrbach
3156;Riffenmatt
3157;Milken
3158;Guggisberg
3159;Riedstätt
3172;Niederwangen b. Bern
3173;Oberwangen b. Bern
3174;Thörishaus
3175;Flamatt
3176;Neuenegg
3177;Laupen BE
3178;Bösingen
3179;Kriechenwil
3182;Ueberstorf
3183;Albligen
3184;Wünnewil
3185;Schmitten FR
3186;Düdingen
3202;Frauenkappelen
3203;Mühleberg
3204;Rosshäusern
3205;Gümmenen
3206;Rizenbach
3206;Ferenbalm
3206;Biberen
3206;Gammen
3206;Wallenbuch
3207;Wileroltigen
3207;Golaten
